sample_index,host_elapsed_s,pulse_fpga_time_s,group_id,pulse_id,valid,invalid_reason,baseline_pre_v,baseline_post_v,baseline_for_area_v,threshold_v,pulse_duration_s,pulse_height_v,peak_height_v,pulse_area_v_us,correction_active_v,effective_high_v,live_target_area_v_us,live_area_error_v_us,live_p_term_v_us,live_i_term_v_us,live_d_term_v_us,live_pid_latency_cycles
0,0.0042096030001630425,7264.825108376,285,0,1,none,-0.1038818359375,-0.1099853515625,-0.10693359375,-0.01904296875,4.56e-07,0.4404982182017544,0.500732421875,0.20086718750000002,-0.001953125,0.498046875,0.2,0.002728515625,0.0009990234375000001,8.789062500000001e-06,0.0,16
1,0.10148432300047716,7264.922488728,97666,0,1,none,-0.104248046875,-0.111083984375,-0.107666015625,-0.01904296875,4.56e-07,0.44365491365131576,0.49951171875,0.202306640625,-0.0064697265625,0.4935302734375,0.2,0.0018701171875,0.0012158203125,0.0005966796875,0.0,16
2,0.2014589979999073,7265.022488064,197666,0,1,none,-0.104736328125,-0.1121826171875,-0.10845947265625,-0.0203857421875,4.56e-07,0.44164824904057015,0.4991455078125,0.2013916015625,-0.005615234375,0.494384765625,0.2,0.002287109375,0.0008076171875000001,0.0011171875000000001,0.0,16
3,0.3014617349999753,7265.1224854,297664,0,1,none,-0.1082763671875,-0.111083984375,-0.10968017578125,-0.019287109375,4.64e-07,0.43867229593211204,0.505859375,0.2035439453125,-0.0103759765625,0.4896240234375,0.2,0.002017578125,0.0007490234375,0.001552734375,0.0,3
4,0.4014499969998724,7265.222485736,397665,0,1,none,-0.109130859375,-0.109619140625,-0.109375,-0.0203857421875,4.64e-07,0.43644977438038784,0.497802734375,0.2025126953125,-0.0103759765625,0.4896240234375,0.2,0.0015898437500000001,0.0004169921875,0.001921875,0.0,16
5,0.5014516450000883,7265.322487072,497667,0,1,none,-0.1083984375,-0.1114501953125,-0.10992431640625,-0.020263671875,4.64e-07,0.4355910728717672,0.5025634765625,0.2021142578125,-0.009765625,0.490234375,0.2,0.0008291015625,0.0,0.0022275390625,0.0,16
6,0.6014435549996051,7265.422485408,597666,0,1,none,-0.108154296875,-0.110107421875,-0.109130859375,-0.0198974609375,4.64e-07,0.43307389884159475,0.496826171875,0.2009462890625,-0.010986328125,0.489013671875,0.2,-0.0002275390625,-0.0002998046875,0.00248046875,0.0,16
7,0.7014463069999692,7265.522486744,697668,0,1,none,-0.1082763671875,-0.111328125,-0.10980224609375,-0.020263671875,4.64e-07,0.43238567483836204,0.4954833984375,0.200626953125,-0.0113525390625,0.4886474609375,0.2,0.001134765625,0.00053515625,0.0026904296875,0.0,16
8,0.8014530070004184,7265.62249008,797672,0,1,none,-0.1063232421875,-0.1087646484375,-0.1075439453125,-0.0185546875,4.64e-07,0.4337621228448275,0.502685546875,0.201265625,-0.0123291015625,0.4876708984375,0.2,0.0013681640625,0.000650390625,0.00286328125,0.0,16
9,0.9014589779999369,7265.722494416,897677,0,1,none,-0.106689453125,-0.1102294921875,-0.10845947265625,-0.01904296875,4.64e-07,0.4330844221443965,0.492919921875,0.200951171875,-0.0126953125,0.4873046875,0.2,0.001181640625,0.0006728515625000001,0.0030087890625,0.0,16
10,1.001457661999666,7265.822493752,997677,0,1,none,-0.1080322265625,-0.110107421875,-0.10906982421875,-0.0205078125,4.64e-07,0.4336821457435344,0.5028076171875,0.201228515625,-0.0120849609375,0.4879150390625,0.2,8.789062500000001e-06,0.00030078125,0.0031240234375000003,0.0,16
11,1.1014573000002201,7265.922493088,1097677,0,1,none,-0.1072998046875,-0.1087646484375,-0.1080322265625,-0.0198974609375,4.64e-07,0.43109551791487066,0.499267578125,0.2000283203125,-0.0120849609375,0.4879150390625,0.2,0.0007919921875,0.0,0.003212890625,0.0,16
12,1.2014495909998004,7266.022496424,1197681,0,1,none,-0.1055908203125,-0.1099853515625,-0.1077880859375,-0.0186767578125,4.64e-07,0.43169324151400856,0.493408203125,0.2003056640625,-0.0123291015625,0.4876708984375,0.2,0.0011083984375,0.0006787109375000001,0.0032939453125,0.0,16
13,1.3014552590002495,7266.122498752,1297684,0,1,none,-0.1068115234375,-0.110595703125,-0.10870361328125,-0.0201416015625,4.56e-07,0.43800969709429827,0.4970703125,0.199732421875,-0.012939453125,0.487060546875,0.2,0.000568359375,0.0,0.0033837890625,0.0,3
14,1.4014665249997051,7266.222508096,1397694,0,1,none,-0.1055908203125,-0.1102294921875,-0.10791015625,-0.0194091796875,4.64e-07,0.43358743601831895,0.49755859375,0.2011845703125,-0.0130615234375,0.4869384765625,0.2,0.0012822265625,0.0004287109375,0.0034921875,0.0,16
15,1.5014515439997922,7266.322496424,1497683,0,1,none,-0.105712890625,-0.1119384765625,-0.10882568359375,-0.0196533203125,4.56e-07,0.43867144668311403,0.49658203125,0.2000341796875,-0.0142822265625,0.4857177734375,0.2,0.0005888671875,0.0,0.0036123046875000003,0.0,16
16,1.60144740800024,7266.42249676,1597684,0,1,none,-0.105712890625,-0.1099853515625,-0.10784912109375,-0.0196533203125,4.56e-07,0.43990499931469296,0.4996337890625,0.2005966796875,-0.0120849609375,0.4879150390625,0.2,0.000416015625,0.0002685546875,0.003716796875,0.0,16
17,1.7014534959998855,7266.522505096,1697693,0,1,none,-0.10400390625,-0.1114501953125,-0.10772705078125,-0.018310546875,4.56e-07,0.4377612733004385,0.49853515625,0.199619140625,-0.01220703125,0.48779296875,0.2,4.39453125e-05,0.0,0.0038037109375,0.0,16
18,1.8014474970004812,7266.622498432,1797687,0,1,none,-0.10595703125,-0.111572265625,-0.1087646484375,-0.0205078125,4.56e-07,0.4401512815241228,0.4951171875,0.200708984375,-0.0126953125,0.4873046875,0.2,4.4921875e-05,0.0,0.00389453125,0.0,3
19,1.901455242999873,7266.722502768,1897692,0,1,none,-0.10546875,-0.1116943359375,-0.10858154296875,-0.020263671875,4.56e-07,0.4372580009594298,0.4981689453125,0.1993896484375,-0.0147705078125,0.4852294921875,0.2,0.0014921875,0.0,0.0039892578125,0.0,16
20,2.0014371269999174,7266.822499104,1997689,0,1,none,-0.1026611328125,-0.1094970703125,-0.1060791015625,-0.0179443359375,4.56e-07,0.43943599232456143,0.4971923828125,0.2003828125,-0.015869140625,0.484130859375,0.2,-0.0003466796875,0.0,0.0040908203125,0.0,16
21,2.1014421890004087,7266.92250244,2097693,0,1,none,-0.109130859375,-0.110107421875,-0.109619140625,-0.02099609375,4.64e-07,0.4333790746228448,0.495849609375,0.20108789062500002,-0.0159912109375,0.4840087890625,0.2,0.0004384765625,0.0,0.0041953125,0.0,3
22,2.2014481090000118,7267.022503776,2197695,0,1,none,-0.1099853515625,-0.110595703125,-0.11029052734375,-0.021728515625,4.64e-07,0.4317900558997844,0.4959716796875,0.2003505859375,-0.0167236328125,0.4832763671875,0.2,-0.000509765625,0.0,0.0042900390625,0.0,3
23,2.301458408999679,7267.122507112,2297699,0,1,none,-0.1064453125,-0.1104736328125,-0.10845947265625,-0.017822265625,4.64e-07,0.43308652680495685,0.5003662109375,0.2009521484375,-0.016845703125,0.483154296875,0.2,-0.000236328125,0.00026171875,0.0043818359375,0.0,16
24,2.401450985000338,7267.222508448,2397701,0,1,none,-0.107666015625,-0.109619140625,-0.108642578125,-0.01953125,4.64e-07,0.4338652512122845,0.501708984375,0.2013134765625,-0.0186767578125,0.4813232421875,0.2,-0.0001845703125,0.0,0.0044687500000000005,0.0,16
25,2.5014437469999393,7267.322506784,2497700,0,1,none,-0.106689453125,-0.1083984375,-0.1075439453125,-0.01806640625,4.64e-07,0.43196053340517243,0.4971923828125,0.2004296875,-0.0172119140625,0.4827880859375,0.2,0.0001552734375,-0.0002626953125,0.00455078125,0.0,16
